Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Value,Wage,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 28
,J. Bellingham CAM CM LM,22,89,93,Real Madrid 2023 ~ 2029,252371,"186cm 6'1""",75kg 165lbs,Right,€150.5M,€300K,81,80,93,80,80,88,90,80,82,14,11,5,4,4,,,
,D. Rice CDM CM,26,88,89,Arsenal 2023 ~ 2028,234378,"188cm 6'2""",80kg 176lbs,Right,€96M,€230K,71,73,94,79,86,83,86,86,85,8,11,5,3,3,,,
,W. Saliba CB,24,88,90,Arsenal 2019 ~ 2030,243715,"192cm 6'4""",92kg 203lbs,Right,€105.5M,€200K,76,78,72,88,88,62,82,90,88,7,10,8,3,2,,,
,M. Caicedo CDM CM,23,88,90,Chelsea 2023 ~ 2033,256079,"178cm 5'10""",73kg 161lbs,Right,€107M,€185K,76,66,91,77,88,80,83,87,88,15,6,9,3,3,,,
,V. van Dijk CB,33,88,88,Liverpool 2018 ~ 2027,203376,"195cm 6'5""",92kg 203lbs,Right,€43.5M,€195K,66,78,75,92,88,70,89,90,87,13,10,11,3,2,,,
,Alisson GK,32,88,88,Liverpool 2018 ~ 2027,212831,"193cm 6'4""",91kg 201lbs,Right,€45M,€130K,60,49,32,78,11,66,66,19,16,86,87,88,3,1,,,
,Bruno Fernandes CAM CM,30,88,88,Manchester United 2020 ~ 2027,212198,"179cm 5'10""",69kg 152lbs,Right,€88M,€185K,68,66,95,61,64,93,88,71,66,12,14,8,4,4,,,
,K. Kvaratskhelia LW RW LM,24,88,91,Paris Saint-Germain 2025 ~ 2029,247635,"183cm 6'0""",70kg 154lbs,Right,€125M,€150K,85,86,83,80,60,86,85,62,52,9,15,14,5,5,,,
,Nuno Mendes LB LM,23,88,91,Paris Saint-Germain 2021 ~ 2029,252145,"180cm 5'11""",70kg 154lbs,Left,€115.5M,€135K,94,95,85,73,82,72,83,87,83,7,8,12,4,3,,,
,W. Pacho CB,23,88,90,Paris Saint-Germain 2024 ~ 2029,256196,"188cm 6'2""",81kg 179lbs,Left,€105.5M,€135K,74,85,78,89,85,58,81,91,85,9,12,13,3,2,,,
,João Neves CM CDM,20,88,93,Paris Saint-Germain 2024 ~ 2029,272834,"174cm 5'9""",66kg 146lbs,Right,€135M,€120K,77,71,92,78,85,87,85,86,83,8,7,13,4,3,,,
,N. Barella CM CDM,28,88,88,Inter 2020 ~ 2029,224232,"175cm 5'9""",68kg 150lbs,Right,€91.5M,€76K,85,78,91,68,84,86,88,85,80,11,5,14,4,3,,,
,L. Martínez ST,27,88,88,Inter 2018 ~ 2029,231478,"174cm 5'9""",72kg 159lbs,Right,€99M,€79K,84,80,86,80,46,79,88,50,45,11,8,8,4,4,,,
,J. Oblak GK,32,88,88,Atlético Madrid 2014 ~ 2028,200389,"188cm 6'2""",87kg 192lbs,Right,€45M,€87K,42,53,42,78,24,60,68,14,18,85,90,86,3,1,,,
,David Raya GK,29,87,87,Arsenal 2024 ~ 2028,220901,"183cm 6'0""",83kg 183lbs,Right,€54.5M,€145K,64,59,31,38,11,68,68,14,13,86,84,85,3,1,,,
,B. Saka RW RM,23,87,89,Arsenal 2018 ~ 2030,246669,"178cm 5'10""",65kg 143lbs,Left,€103.5M,€210K,85,81,86,74,62,86,82,62,60,7,8,9,4,3,,,
,A. Isak ST,25,87,88,Liverpool 2025 ~ 2031,233731,"192cm 6'4""",77kg 170lbs,Right,€96.5M,€185K,86,80,78,79,38,80,88,34,29,7,6,7,4,4,,,
,F. Wirtz CAM LM CM,22,87,91,Liverpool 2025 ~ 2030,256630,"177cm 5'10""",71kg 157lbs,Right,€116.5M,€160K,82,79,87,59,55,89,86,49,44,14,14,6,4,4,,,
,Rúben Dias CB,28,87,87,Manchester City 2020 ~ 2029,239818,"187cm 6'2""",82kg 181lbs,Right,€68.5M,€210K,55,62,71,89,87,64,85,87,85,7,8,7,4,2,,,
,Marquinhos CB,31,87,87,Paris Saint-Germain 2013 ~ 2028,207865,"183cm 6'0""",75kg 165lbs,Right,€54.5M,€145K,75,80,79,79,89,76,86,89,88,6,6,10,3,3,,,
,J. Tah CB,29,87,87,FC Bayern München 2025 ~ 2029,213331,"195cm 6'5""",94kg 207lbs,Right,€66.5M,€115K,53,71,76,91,84,57,80,89,84,11,8,9,3,2,,,
,L. Díaz LM LW ST,28,87,87,FC Bayern München 2025 ~ 2029,241084,"180cm 5'11""",70kg 154lbs,Right,€80M,€120K,86,81,86,69,38,81,82,47,38,10,13,14,4,4,,,
,J. Musiala CAM LM CM ST,22,87,91,FC Bayern München 2020 ~ 2030,256790,"186cm 6'1""",75kg 165lbs,Right,€116.5M,€100K,85,75,73,61,64,84,83,66,61,6,9,8,4,5,,,
,A. Bastoni CB,26,87,89,Inter 2017 ~ 2028,237383,"190cm 6'3""",75kg 165lbs,Left,€87M,€63K,71,77,83,81,87,72,85,88,84,11,5,11,2,2,,,
,M. Maignan GK,29,87,88,AC Milan 2021 ~ 2031,215698,"191cm 6'3""",89kg 196lbs,Right,€61M,€61K,65,62,39,83,25,65,68,18,20,84,84,84,4,1,,,
,K. De Bruyne CM CAM,34,87,87,Napoli 2025 ~ 2027,192985,"181cm 5'11""",75kg 165lbs,Right,€36.5M,€175K,65,66,66,74,65,92,87,70,55,15,13,10,5,4,,,
,F. de Jong CM CDM CAM,28,87,87,FC Barcelona 2019 ~ 2029,228702,"181cm 5'11""",74kg 163lbs,Right,€79.5M,€170K,80,83,87,73,82,88,90,78,77,7,13,10,3,4,,,
,M. Ødegaard CM CAM,26,86,87,Arsenal 2021 ~ 2028,222665,"178cm 5'10""",68kg 150lbs,Left,€79.5M,€200K,68,68,84,55,69,90,86,72,57,14,15,8,2,5,,,
,V. Gyökeres ST,27,86,86,Arsenal 2025 ~ 2030,241651,"189cm 6'2""",94kg 207lbs,Right,€73.5M,€220K,83,88,89,91,41,76,85,42,34,10,13,14,4,3,,,
,C. Palmer CAM RM CM,23,86,89,Chelsea 2023 ~ 2033,257534,"185cm 6'1""",77kg 170lbs,Left,€93M,€170K,76,75,79,60,50,88,88,50,40,7,6,14,3,4,,,
,D. Szoboszlai CAM RB CM,24,86,88,Liverpool 2023 ~ 2028,236772,"186cm 6'1""",74kg 163lbs,Right,€88M,€145K,79,83,93,69,74,86,86,76,72,10,10,10,4,4,,,
,R. Gravenberch CDM CM,23,86,89,Liverpool 2023 ~ 2032,246104,"190cm 6'3""",77kg 170lbs,Right,€84M,€135K,76,76,85,80,88,82,88,82,78,12,8,11,4,4,,,
,Bruno Guimarães CM CDM,27,86,86,Newcastle United 2022 ~ 2028,247851,"182cm 6'0""",74kg 163lbs,Right,€72M,€190K,66,66,90,76,82,86,88,82,81,7,11,11,3,3,,,
,D. Doué RW LW CM RM,20,86,91,Paris Saint-Germain 2024 ~ 2029,271421,"181cm 5'11""",79kg 174lbs,Right,€101M,€110K,85,82,80,83,59,79,89,60,52,9,12,5,4,5,,,
,D. Upamecano CB,26,86,88,FC Bayern München 2021 ~ 2030,229558,"186cm 6'1""",90kg 198lbs,Right,€74M,€100K,76,78,73,87,87,58,77,84,82,6,7,15,3,3,,,
,G. Kobel GK,27,86,89,Borussia Dortmund 2021 ~ 2028,235073,"195cm 6'5""",88kg 194lbs,Right,€66.5M,€52K,38,52,32,81,14,59,66,15,15,87,83,86,3,1,,,
,N. Schlotterbeck CB,25,86,88,Borussia Dortmund 2022 ~ 2031,247819,"191cm 6'3""",86kg 190lbs,Left,€75.5M,€78K,77,72,74,87,84,72,81,88,87,8,10,14,2,2,,,
,Y. Sommer GK,36,86,86,Inter 2023 ~ 2028,177683,"183cm 6'0""",79kg 174lbs,Right,€7.5M,€24K,48,54,45,68,21,64,54,20,14,83,81,87,4,1,,,
,H. Çalhanoğlu CDM CM,31,86,86,Inter 2024 ~ 2027,208128,"178cm 5'10""",76kg 168lbs,Right,€47.5M,€61K,74,68,81,65,81,89,85,82,79,9,14,6,5,4,,,
,F. Dimarco LB LM,27,86,86,Inter 2018 ~ 2027,226268,"174cm 5'9""",75kg 165lbs,Left,€65.5M,€58K,85,79,85,72,82,80,78,80,79,9,8,7,2,3,,,
,Bremer CB,28,86,86,Juventus 2022 ~ 2029,239580,"187cm 6'2""",84kg 185lbs,Right,€58.5M,€185K,78,86,68,85,83,50,78,87,84,13,15,5,2,2,,,
,S. McTominay CM CAM LM CDM,28,86,86,Napoli 2024 ~ 2029,237238,"193cm 6'4""",88kg 194lbs,Right,€68M,€165K,70,80,92,82,84,79,80,81,75,9,6,10,3,3,,,
,J. Alvarez ST CAM,25,86,89,Atlético Madrid 2024 ~ 2030,246191,"170cm 5'7""",71kg 157lbs,Right,€91M,€115K,87,85,83,72,52,84,86,59,46,6,10,15,4,4,,,
,R. Lewandowski ST,36,86,86,FC Barcelona 2022 ~ 2028,188545,"186cm 6'1""",81kg 179lbs,Right,€23M,€130K,70,71,76,86,49,81,87,42,19,15,6,8,4,4,,,
,J. Koundé RB RM,26,86,87,FC Barcelona 2022 ~ 2030,241486,"181cm 5'11""",84kg 185lbs,Right,€73M,€140K,85,83,85,84,83,74,80,85,84,11,10,14,3,3,,,
,Joan García GK,24,86,89,FC Barcelona 2025 ~ 2031,259532,"193cm 6'4""",85kg 187lbs,Right,€72.5M,€71K,48,44,35,59,13,63,59,13,14,85,85,84,3,1,,,
,Zubimendi CDM CM,26,85,87,Arsenal 2025 ~ 2030,248148,"181cm 5'11""",74kg 163lbs,Right,€60M,€180K,67,66,85,67,84,84,85,82,79,7,6,14,4,3,,,
,E. Martínez GK,32,85,85,Aston Villa 2020 ~ 2029,202811,"195cm 6'5""",88kg 194lbs,Right,€26.5M,€105K,55,57,40,78,21,67,69,20,20,83,81,85,4,1,,,
,Y. Tielemans CM CDM CAM,28,85,85,Aston Villa 2023 ~ 2027,216393,"176cm 5'9""",72kg 159lbs,Right,€54M,€170K,51,55,87,69,75,87,88,77,80,6,8,14,4,4,,,
,Marc Cucurella LB CM,26,85,85,Chelsea 2022 ~ 2028,239231,"174cm 5'9""",71kg 157lbs,Left,€53.5M,€170K,78,77,89,70,83,77,79,85,84,13,7,10,3,3,,,
,E. Fernández CM CDM CAM,24,85,88,Chelsea 2023 ~ 2032,247090,"178cm 5'10""",78kg 172lbs,Right,€73M,€150K,68,68,86,67,74,86,84,75,72,8,6,8,4,3,,,
,J. Pickford GK,31,85,85,Everton 2017 ~ 2029,204935,"185cm 6'1""",77kg 170lbs,Left,€28.5M,€49K,57,47,40,72,26,69,65,20,12,84,80,82,4,1,,,
,A. Mac Allister CM CDM,26,85,86,Liverpool 2023 ~ 2028,239837,"176cm 5'9""",72kg 159lbs,Right,€63M,€150K,68,64,85,69,79,85,86,82,74,7,10,15,3,3,,,
,H. Ekitiké ST CAM,23,85,88,Liverpool 2025 ~ 2031,257289,"190cm 6'3""",76kg 168lbs,Right,€74.5M,€145K,85,87,86,70,23,79,84,35,19,8,8,10,3,4,,,
,P. Foden CAM CM RW,25,85,88,Manchester City 2016 ~ 2027,237692,"171cm 5'7""",70kg 154lbs,Left,€71.5M,€170K,83,79,83,41,59,83,85,59,47,8,15,10,2,4,,,
,T. Reijnders CM CDM CAM,26,85,86,Manchester City 2025 ~ 2030,240638,"185cm 6'1""",73kg 161lbs,Right,€63M,€175K,82,75,92,69,75,84,84,74,72,6,10,14,4,4,,,
,J. Gvardiol CB LB LM,23,85,88,Manchester City 2023 ~ 2028,251517,"185cm 6'1""",80kg 176lbs,Left,€66M,€145K,78,79,82,82,85,70,82,85,84,5,8,9,5,3,,,
,B. Mbeumo RW RM ST,25,85,86,Manchester United 2025 ~ 2030,243014,"171cm 5'7""",75kg 165lbs,Left,€64.5M,€135K,90,90,85,73,52,80,83,41,37,7,14,13,2,4,,,
,S. Tonali CDM CM,25,85,87,Newcastle United 2023 ~ 2029,241096,"181cm 5'11""",79kg 174lbs,Right,€60.5M,€160K,80,79,89,82,84,79,84,82,81,13,9,7,4,3,,,
,G. Xhaka CDM CM,32,85,85,Sunderland 2025 ~ 2028,199503,"186cm 6'1""",80kg 176lbs,Left,€36M,€105K,40,53,84,78,77,85,85,79,75,7,8,7,3,3,,,
,Fabián Ruiz CM CDM,29,85,85,Paris Saint-Germain 2022 ~ 2027,226271,"189cm 6'2""",70kg 154lbs,Left,€52.5M,€130K,61,61,84,67,79,84,82,79,75,16,11,13,3,3,,,
,S. Guirassy ST,29,85,85,Borussia Dortmund 2024 ~ 2028,215441,"187cm 6'2""",82kg 181lbs,Right,€54M,€89K,73,71,84,85,33,79,87,44,36,11,8,12,4,3,,,
,Grimaldo LM LB CAM LW,29,85,85,Bayer 04 Leverkusen 2023 ~ 2027,210035,"171cm 5'7""",68kg 150lbs,Left,€53M,€120K,76,68,91,53,79,85,83,75,69,7,13,7,2,4,,,
,P. Schick ST,29,85,85,Bayer 04 Leverkusen 2020 ~ 2030,234236,"191cm 6'3""",87kg 192lbs,Left,€54M,€135K,72,72,69,85,25,75,85,29,19,11,15,9,3,3,,,
,M. Carnesecchi GK,25,85,88,Atalanta 2019 ~ 2028,252154,"191cm 6'3""",83kg 183lbs,Right,€55M,€60K,24,39,28,55,13,54,40,17,14,86,84,85,3,1,,,
,M. Thuram ST,27,85,85,Inter 2023 ~ 2028,228093,"192cm 6'4""",90kg 198lbs,Right,€58.5M,€61K,85,88,83,81,47,78,78,48,42,11,13,9,4,3,,,
,L. Modrić CM CAM CDM,39,85,85,AC Milan 2025 ~ 2028,177003,"172cm 5'8""",66kg 146lbs,Right,€17M,€56K,72,65,69,58,79,88,91,74,72,13,9,14,4,4,,,
,A. Rabiot CM CAM CDM,30,85,85,AC Milan 2025 ~ 2028,210008,"191cm 6'3""",86kg 190lbs,Left,€51.5M,€83K,75,86,94,82,76,84,86,79,74,9,12,7,3,3,,,
,C. Pulisic RW RM ST,26,85,85,AC Milan 2023 ~ 2027,227796,"178cm 5'10""",73kg 161lbs,Right,€59M,€86K,90,86,76,57,40,80,83,42,50,8,12,16,5,4,,,
,P. Dybala CAM ST,31,85,85,Roma 2022 ~ 2029,211110,"177cm 5'10""",75kg 165lbs,Left,€44.5M,€95K,83,76,76,63,41,87,89,42,39,5,4,5,3,5,,,
,Marcos Llorente RB RM CM,30,85,85,Atlético Madrid 2019 ~ 2027,226161,"183cm 6'0""",74kg 163lbs,Right,€46.5M,€105K,89,92,93,78,82,81,79,84,74,13,6,11,4,3,,,
,T. Alexander-Arnold RB RM,26,85,86,Real Madrid 2025 ~ 2031,231281,"180cm 5'11""",78kg 172lbs,Right,€58M,€230K,72,79,85,68,83,86,81,82,79,14,15,6,4,3,,,
,Nico Williams LW LM,22,85,88,Athletic Club 2020 ~ 2035,256516,"181cm 5'11""",67kg 148lbs,Right,€75M,€69K,94,92,81,61,40,80,78,33,25,9,13,12,5,4,,,
,E. Eze CAM CM LW,27,84,85,Arsenal 2025 ~ 2029,235794,"178cm 5'10""",69kg 152lbs,Right,€48.5M,€175K,73,75,76,68,57,85,87,63,48,10,12,14,4,4,,,
,J. Timber RB LB CB RM,24,84,87,Arsenal 2023 ~ 2028,251805,"179cm 5'10""",78kg 172lbs,Right,€53.5M,€140K,76,76,83,82,83,77,82,85,82,6,6,14,3,3,,,
,E. Konsa CB,27,84,85,Aston Villa 2019 ~ 2028,227678,"185cm 6'1""",77kg 170lbs,Right,€42.5M,€145K,72,78,79,80,84,75,82,87,86,14,8,13,3,2,,,
,B. Kamara CDM CM,25,84,86,Aston Villa 2022 ~ 2030,236987,"184cm 6'0""",68kg 150lbs,Right,€47.5M,€140K,62,65,81,79,85,79,85,86,83,8,12,6,3,3,,,
,M. Rogers CAM LM CM,22,84,86,Aston Villa 2024 ~ 2031,260247,"187cm 6'2""",80kg 176lbs,Right,€56M,€135K,75,79,83,79,68,85,85,72,49,7,8,11,4,4,,,
,R. James RB CDM,25,84,86,Chelsea 2017 ~ 2032,238074,"180cm 5'11""",91kg 201lbs,Right,€48.5M,€145K,75,76,68,87,85,78,82,84,84,8,12,13,4,3,,,
,I. Konaté CB,26,84,85,Liverpool 2021 ~ 2028,237678,"194cm 6'4""",95kg 209lbs,Right,€43.5M,€135K,69,83,75,91,82,64,80,86,85,9,7,9,3,3,,,
,M. Guéhi CB,24,84,86,Manchester City 2026 ~ 2031,241159,"182cm 6'0""",80kg 176lbs,Right,€48.5M,€130K,69,72,80,80,85,66,80,85,86,8,9,12,5,2,,,
,A. Semenyo RW LW RM,25,84,85,Manchester City 2026 ~ 2031,241236,"185cm 6'1""",79kg 174lbs,Right,€50.5M,€165K,81,82,84,79,34,82,85,44,31,10,11,15,5,3,,,
,R. Cherki RW RM CAM,21,84,88,Manchester City 2025 ~ 2030,251570,"177cm 5'10""",71kg 157lbs,Left,€61.5M,€130K,75,75,68,67,40,87,88,48,33,7,14,8,5,5,,,
,B. Barcola LW RW LM,22,84,88,Paris Saint-Germain 2023 ~ 2028,264652,"188cm 6'2""",70kg 154lbs,Right,€61.5M,€110K,89,94,74,64,39,79,83,39,28,8,8,6,4,4,,,
,K. Laimer RB CDM LB RM,28,84,84,FC Bayern München 2023 ~ 2027,225375,"180cm 5'11""",72kg 159lbs,Right,€38M,€90K,82,82,84,69,80,78,80,79,79,9,12,13,3,3,,,
,F. Nmecha CM CDM,24,84,86,Borussia Dortmund 2023 ~ 2030,246863,"194cm 6'4""",80kg 176lbs,Right,€54.5M,€63K,78,86,79,90,82,78,81,85,79,6,10,13,3,4,,,
,Aleix García CM CDM CAM,28,84,84,Bayer 04 Leverkusen 2024 ~ 2029,228813,"173cm 5'8""",68kg 150lbs,Right,€42M,€110K,67,64,76,65,77,86,84,77,74,16,8,10,3,3,,,
,O. Baumann GK,35,84,84,TSG 1899 Hoffenheim 2014 ~ 2028,193698,"187cm 6'2""",82kg 181lbs,Right,€4.7M,€23K,37,41,39,69,21,50,52,18,14,85,81,81,2,1,,,
,P. Gulácsi GK,35,84,84,RB Leipzig 2015 ~ 2027,185122,"193cm 6'4""",86kg 190lbs,Right,€4.7M,€32K,42,44,37,74,23,44,45,16,20,83,83,87,2,1,,,
,D. Dumfries RB RM,29,84,84,Inter 2021 ~ 2028,233096,"188cm 6'2""",80kg 176lbs,Right,€37M,€51K,78,88,88,81,77,69,78,78,77,10,10,13,3,2,,,
,M. Locatelli CDM CM,27,84,85,Juventus 2023 ~ 2028,222077,"185cm 6'1""",75kg 165lbs,Right,€43M,€150K,62,65,89,73,81,82,82,85,80,11,12,10,4,3,,,
,Rafael Leão LW LM ST,26,84,85,AC Milan 2019 ~ 2028,241721,"188cm 6'2""",81kg 179lbs,Right,€49.5M,€79K,93,93,75,79,24,81,83,24,21,10,12,11,4,5,,,
,G. Mancini CB,29,84,84,Roma 2020 ~ 2027,229582,"190cm 6'3""",77kg 170lbs,Right,€35.5M,€83K,67,74,83,79,85,56,83,86,79,13,12,6,3,2,,,
,M. Svilar GK,25,84,87,Roma 2024 ~ 2027,230872,"189cm 6'2""",77kg 170lbs,Right,€43M,€47K,60,55,32,61,13,53,48,24,19,81,81,85,3,1,,,
,De Gea GK,34,84,84,Fiorentina 2024 ~ 2028,193080,"192cm 6'4""",76kg 168lbs,Right,€7M,€51K,47,45,30,38,21,45,45,20,15,85,76,84,2,1,,,
,A. Griezmann ST CAM,34,84,84,Atlético Madrid 2022 ~ 2027,194765,"176cm 5'9""",73kg 161lbs,Left,€20.5M,€105K,78,73,74,70,62,86,88,63,67,14,8,13,3,4,,,
,João Cancelo RB LB RM,31,84,84,"FC Barcelona Jun 30, 2026 On loan",210514,"182cm 6'0""",74kg 163lbs,Right,€30.5M,€68K,88,78,77,65,79,85,85,81,77,6,9,14,4,4,,,
,Ferran Torres ST LW LM,25,84,86,FC Barcelona 2022 ~ 2027,241461,"183cm 6'0""",80kg 176lbs,Right,€53.5M,€130K,86,82,74,76,36,79,82,36,28,12,9,15,4,4,,,
,Dani Olmo CAM CM,27,84,84,FC Barcelona 2024 ~ 2030,244260,"179cm 5'10""",72kg 159lbs,Right,€45M,€130K,78,71,71,56,58,85,82,53,38,15,15,12,4,4,,,
,Carvajal RB RM,33,84,84,Real Madrid 2013 ~ 2029,204963,"173cm 5'8""",73kg 161lbs,Right,€22M,€220K,76,77,80,74,81,78,83,84,82,13,13,9,3,3,,,
,A. Rüdiger CB,32,84,84,Real Madrid 2022 ~ 2029,205452,"190cm 6'3""",86kg 190lbs,Right,€27.5M,€220K,69,83,70,88,80,61,79,84,82,14,15,12,3,2,,,
,Éder Militão CB,27,84,86,Real Madrid 2019 ~ 2028,240130,"186cm 6'1""",78kg 172lbs,Right,€45M,€210K,80,83,84,79,84,65,76,85,84,11,8,12,3,2,,,
,A. Tchouaméni CDM CM CB,25,84,87,Real Madrid 2022 ~ 2028,241637,"188cm 6'2""",82kg 181lbs,Right,€50.5M,€200K,75,74,83,82,85,81,82,85,81,9,8,12,3,3,,,
,Rodrygo LW RW ST LM,24,84,87,Real Madrid 2019 ~ 2028,243812,"174cm 5'9""",64kg 141lbs,Right,€57.5M,€210K,88,87,76,59,25,83,83,39,28,9,8,8,4,4,,,
,Unai Simón GK,28,84,85,Athletic Club 2015 ~ 2029,230869,"190cm 6'3""",88kg 194lbs,Right,€33.5M,€44K,48,50,44,76,26,48,40,18,12,83,80,82,3,1,,,
,Isco CAM CM,33,84,84,Real Betis Balompié 2023 ~ 2028,197781,"176cm 5'9""",79kg 174lbs,Right,€26.5M,€52K,64,64,67,55,61,88,87,62,51,10,8,15,4,5,,,
,M. ter Stegen GK,33,84,84,"Girona FC Jun 30, 2026 On loan",192448,"187cm 6'2""",85kg 187lbs,Right,€13.5M,€82K,41,48,35,75,22,70,70,13,10,82,82,83,4,1,,,
,L. Trossard LW LM,30,83,83,Arsenal 2023 ~ 2027,207421,"172cm 5'8""",67kg 148lbs,Right,€35M,€175K,87,75,76,55,18,81,84,31,18,14,8,7,5,4,,,
,Mikel Merino CM ST CDM,29,83,83,Arsenal 2024 ~ 2028,225193,"189cm 6'2""",83kg 183lbs,Left,€35.5M,€160K,52,54,82,78,83,80,81,82,76,9,12,13,3,3,,,
,P. Hincapié LB CB,23,83,87,"Arsenal Jun 30, 2026 On loan",256197,"184cm 6'0""",77kg 170lbs,Left,€48.5M,€81K,80,88,85,77,83,57,76,85,87,9,15,6,2,3,,,
,C. Gakpo LM LW,26,83,83,Liverpool 2023 ~ 2030,242516,"193cm 6'4""",76kg 168lbs,Right,€39.5M,€125K,85,82,76,78,45,81,83,48,31,15,11,9,4,4,,,
,G. Mamardashvili GK,24,83,86,Liverpool 2024 ~ 2030,262621,"199cm 6'6""",88kg 194lbs,Left,€38.5M,€61K,48,48,45,74,8,34,26,12,10,82,81,82,3,1,,,
,Bernardo Silva CM CDM RW,30,83,83,Manchester City 2017 ~ 2030,218667,"173cm 5'8""",65kg 143lbs,Left,€34.5M,€150K,63,50,87,47,73,84,85,75,68,9,10,12,2,4,,,
,J. Doku LW LM RW,23,83,86,Manchester City 2023 ~ 2028,246420,"173cm 5'8""",66kg 146lbs,Right,€49.5M,€135K,95,89,68,76,20,82,85,30,25,11,10,9,4,4,,,
,O. Marmoush LW ST LM,26,83,83,Manchester City 2025 ~ 2029,256675,"183cm 6'0""",81kg 179lbs,Right,€39.5M,€155K,87,90,76,67,34,78,82,30,21,11,13,8,3,4,,,
,Matheus Cunha CAM LM ST,26,83,84,Manchester United 2025 ~ 2030,240243,"183cm 6'0""",76kg 168lbs,Right,€43M,€115K,79,77,82,73,42,81,83,41,39,8,7,13,4,4,,,
