Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,Unnamed: 9
,J. Pickford GK,31,85,85,Everton 2017 ~ 2029,€28.5M,€49K,1536,
,A. Mac Allister CM CDM,26,85,86,Liverpool 2023 ~ 2028,€63M,€150K,2289,
,H. Ekitiké ST CAM,23,85,88,Liverpool 2025 ~ 2031,€74.5M,€145K,1994,
,P. Foden CAM CM RW,25,85,88,Manchester City 2016 ~ 2027,€71.5M,€170K,2123,
,T. Reijnders CM CDM CAM,26,85,86,Manchester City 2025 ~ 2030,€63M,€175K,2211,
,J. Gvardiol CB LB LM,23,85,88,Manchester City 2023 ~ 2028,€66M,€145K,2191,
,B. Mbeumo RW RM ST,25,85,86,Manchester United 2025 ~ 2030,€64.5M,€135K,2198,
,S. Tonali CDM CM,25,85,87,Newcastle United 2023 ~ 2029,€60.5M,€160K,2267,
,G. Xhaka CDM CM,32,85,85,Sunderland 2025 ~ 2028,€36M,€105K,2134,
,Fabián Ruiz CM CDM,29,85,85,Paris Saint-Germain 2022 ~ 2027,€52.5M,€130K,2143,
,S. Guirassy ST,29,85,85,Borussia Dortmund 2024 ~ 2028,€54M,€89K,2119,
,Grimaldo LM LB CAM LW,29,85,85,Bayer 04 Leverkusen 2023 ~ 2027,€53M,€120K,2235,
,P. Schick ST,29,85,85,Bayer 04 Leverkusen 2020 ~ 2030,€54M,€135K,2010,
,M. Carnesecchi GK,25,85,88,Atalanta 2019 ~ 2028,€55M,€60K,1170,
,M. Thuram ST,27,85,85,Inter 2023 ~ 2028,€58.5M,€61K,2136,
,L. Modrić CM CAM CDM,39,85,85,AC Milan 2025 ~ 2028,€17M,€56K,2208,
,A. Rabiot CM CAM CDM,30,85,85,AC Milan 2025 ~ 2028,€51.5M,€83K,2274,
,C. Pulisic RW RM ST,26,85,85,AC Milan 2023 ~ 2027,€59M,€86K,2131,
,P. Dybala CAM ST,31,85,85,Roma 2022 ~ 2029,€44.5M,€95K,2118,
,Marcos Llorente RB RM CM,30,85,85,Atlético Madrid 2019 ~ 2027,€46.5M,€105K,2282,
,T. Alexander-Arnold RB RM,26,85,86,Real Madrid 2025 ~ 2031,€58M,€230K,2266,
,Nico Williams LW LM,22,85,88,Athletic Club 2020 ~ 2035,€75M,€69K,2071,
,E. Eze CAM CM LW,27,84,85,Arsenal 2025 ~ 2029,€48.5M,€175K,2154,
,J. Timber RB LB CB RM,24,84,87,Arsenal 2023 ~ 2028,€53.5M,€140K,2051,
,E. Konsa CB,27,84,85,Aston Villa 2019 ~ 2028,€42.5M,€145K,2035,
,B. Kamara CDM CM,25,84,86,Aston Villa 2022 ~ 2030,€47.5M,€140K,2039,
,M. Rogers CAM LM CM,22,84,86,Aston Villa 2024 ~ 2031,€56M,€135K,2190,
,R. James RB CDM,25,84,86,Chelsea 2017 ~ 2032,€48.5M,€145K,2247,
,I. Konaté CB,26,84,85,Liverpool 2021 ~ 2028,€43.5M,€135K,1829,
,M. Guéhi CB,24,84,86,Manchester City 2026 ~ 2031,€48.5M,€130K,1928,
,A. Semenyo RW LW RM,25,84,85,Manchester City 2026 ~ 2031,€50.5M,€165K,2097,
,R. Cherki RW RM CAM,21,84,88,Manchester City 2025 ~ 2030,€61.5M,€130K,2025,
,B. Barcola LW RW LM,22,84,88,Paris Saint-Germain 2023 ~ 2028,€61.5M,€110K,2018,
,K. Laimer RB CDM LB RM,28,84,84,FC Bayern München 2023 ~ 2027,€38M,€90K,2153,
,F. Nmecha CM CDM,24,84,86,Borussia Dortmund 2023 ~ 2030,€54.5M,€63K,2255,
,Aleix García CM CDM CAM,28,84,84,Bayer 04 Leverkusen 2024 ~ 2029,€42M,€110K,2172,
,O. Baumann GK,35,84,84,TSG 1899 Hoffenheim 2014 ~ 2028,€4.7M,€23K,1272,
,P. Gulácsi GK,35,84,84,RB Leipzig 2015 ~ 2027,€4.7M,€32K,1307,
,D. Dumfries RB RM,29,84,84,Inter 2021 ~ 2028,€37M,€51K,2148,
,M. Locatelli CDM CM,27,84,85,Juventus 2023 ~ 2028,€43M,€150K,2161,
,Rafael Leão LW LM ST,26,84,85,AC Milan 2019 ~ 2028,€49.5M,€79K,2034,
,G. Mancini CB,29,84,84,Roma 2020 ~ 2027,€35.5M,€83K,1853,
,M. Svilar GK,25,84,87,Roma 2024 ~ 2027,€43M,€47K,1415,
,De Gea GK,34,84,84,Fiorentina 2024 ~ 2028,€7M,€51K,1268,
,A. Griezmann ST CAM,34,84,84,Atlético Madrid 2022 ~ 2027,€20.5M,€105K,2278,
,João Cancelo RB LB RM,31,84,84,"FC Barcelona Jun 30, 2026 On loan",€30.5M,€68K,2235,
,Ferran Torres ST LW LM,25,84,86,FC Barcelona 2022 ~ 2027,€53.5M,€130K,2113,
,Dani Olmo CAM CM,27,84,84,FC Barcelona 2024 ~ 2030,€45M,€130K,2069,
,Carvajal RB RM,33,84,84,Real Madrid 2013 ~ 2029,€22M,€220K,2138,
,A. Rüdiger CB,32,84,84,Real Madrid 2022 ~ 2029,€27.5M,€220K,2000,
,Éder Militão CB,27,84,86,Real Madrid 2019 ~ 2028,€45M,€210K,2051,
,A. Tchouaméni CDM CM CB,25,84,87,Real Madrid 2022 ~ 2028,€50.5M,€200K,2167,
,Rodrygo LW RW ST LM,24,84,87,Real Madrid 2019 ~ 2028,€57.5M,€210K,2023,
,Unai Simón GK,28,84,85,Athletic Club 2015 ~ 2029,€33.5M,€44K,1312,
,Isco CAM CM,33,84,84,Real Betis Balompié 2023 ~ 2028,€26.5M,€52K,2113,
,M. ter Stegen GK,33,84,84,"Girona FC Jun 30, 2026 On loan",€13.5M,€82K,1401,
,L. Trossard LW LM,30,83,83,Arsenal 2023 ~ 2027,€35M,€175K,2003,
,Mikel Merino CM ST CDM,29,83,83,Arsenal 2024 ~ 2028,€35.5M,€160K,2189,
,P. Hincapié LB CB,23,83,87,"Arsenal Jun 30, 2026 On loan",€48.5M,€81K,1957,
,C. Gakpo LM LW,26,83,83,Liverpool 2023 ~ 2030,€39.5M,€125K,2122,
,G. Mamardashvili GK,24,83,86,Liverpool 2024 ~ 2030,€38.5M,€61K,1137,
,Bernardo Silva CM CDM RW,30,83,83,Manchester City 2017 ~ 2030,€34.5M,€150K,2156,
,J. Doku LW LM RW,23,83,86,Manchester City 2023 ~ 2028,€49.5M,€135K,1987,
,O. Marmoush LW ST LM,26,83,83,Manchester City 2025 ~ 2029,€39.5M,€155K,2080,
,Matheus Cunha CAM LM ST,26,83,84,Manchester United 2025 ~ 2030,€43M,€115K,2115,
,J. Maddison CM CAM,28,83,83,Tottenham Hotspur 2023 ~ 2028,€36.5M,€135K,2130,
,D. Kulusevski CM RW CAM,25,83,86,Tottenham Hotspur 2023 ~ 2028,€47.5M,€125K,2180,
,J. Bowen RM ST RW,28,83,83,West Ham United 2020 ~ 2030,€36.5M,€100K,2086,
,W. Zaïre-Emery CM CDM RB CAM,19,83,89,Paris Saint-Germain 2022 ~ 2029,€55M,€73K,2191,
,M. Greenwood RM CAM RW,23,83,86,Olympique de Marseille 2024 ~ 2029,€49.5M,€51K,2043,
,S. Gnabry CAM LM ST,29,83,83,FC Bayern München 2017 ~ 2028,€35.5M,€87K,2039,
,A. Davies LB LM,24,83,86,FC Bayern München 2019 ~ 2030,€46M,€68K,2170,
,W. Anton CB,28,83,83,Borussia Dortmund 2024 ~ 2028,€31.5M,€66K,1919,
,M. Ginter CB,31,83,83,SC Freiburg 2022 ~ 2027,€25M,€45K,1936,
,E. Palacios CM CDM,26,83,83,Bayer 04 Leverkusen 2020 ~ 2030,€39.5M,€100K,2157,
,M. Mittelstädt LB LM,28,83,83,VfB Stuttgart 2023 ~ 2028,€33M,€57K,2132,
,A. Stiller CDM CM,24,83,87,VfB Stuttgart 2023 ~ 2028,€47.5M,€47K,2058,
,W. Orban CB,32,83,83,RB Leipzig 2015 ~ 2027,€23.5M,€74K,1742,
,D. Raum LB LM,27,83,83,RB Leipzig 2022 ~ 2027,€35M,€71K,2176,
,H. Mkhitaryan CM CAM,36,83,83,Inter 2022 ~ 2028,€11.5M,€37K,2221,
,S. de Vrij CB,33,83,83,Inter 2018 ~ 2029,€17.5M,€47K,1851,
,F. Acerbi CB,37,83,83,Inter 2023 ~ 2029,€6.5M,€35K,1867,
,M. Akanji CB,29,83,83,"Inter Jun 30, 2026 On loan",€30.5M,€145K,1967,
,M. Zaccagni LW LM,30,83,83,Lazio 2021 ~ 2029,€35M,€56K,2144,
,I. Provedel GK,31,83,83,Lazio 2022 ~ 2027,€19M,€33K,1359,
,R. Lukaku ST,32,83,83,Napoli 2024 ~ 2027,€29.5M,€135K,2028,
,S. Lobotka CM CDM,30,83,83,Napoli 2020 ~ 2027,€34.5M,€125K,2108,
,G. Di Lorenzo RB CB RM CM,31,83,83,Napoli 2019 ~ 2028,€26.5M,€120K,2154,
,A. Zambo Anguissa CM CAM,29,83,83,Napoli 2022 ~ 2027,€35.5M,€125K,2199,
,A. Rrahmani CB,31,83,83,Napoli 2020 ~ 2027,€25M,€120K,1857,
,R. Orsolini RM RW,28,83,83,Bologna 2019 ~ 2027,€36.5M,€74K,2090,
,M. Kean ST,25,83,86,Fiorentina 2024 ~ 2029,€48.5M,€74K,1954,
,J. Giménez CB,30,83,83,Atlético Madrid 2013 ~ 2028,€30M,€86K,1838,
,A. Sørloth ST RW RM,29,83,83,Atlético Madrid 2024 ~ 2028,€36.5M,€95K,1990,
,A. Lookman ST CAM LM,27,83,83,Atlético Madrid 2026 ~ 2030,€39.5M,€95K,2019,
,D. Hancko LB CB CDM,27,83,83,Atlético Madrid 2025 ~ 2030,€35M,€82K,2147,
,Pablo Barrios CM CDM,22,83,87,Atlético Madrid 2022 ~ 2030,€52.5M,€75K,2146,
,W. Szczęsny GK,35,83,83,FC Barcelona 2024 ~ 2027,€4M,€45K,1341,
,Eric García CB RB CDM RM,24,83,86,FC Barcelona 2021 ~ 2031,€44.5M,€95K,2082,
,Balde LB LM,21,83,87,FC Barcelona 2021 ~ 2028,€49.5M,€80K,1985,
,Gavi CM CDM CAM,20,83,87,FC Barcelona 2020 ~ 2030,€51M,€85K,2070,
,Fermín CAM CM ST,22,83,87,FC Barcelona 2023 ~ 2031,€53M,€100K,2168,
,Pau Cubarsí CB,18,83,89,FC Barcelona 2023 ~ 2029,€48M,€70K,1912,
,A. Güler RM CM CAM RW,20,83,89,Real Madrid 2023 ~ 2029,€56.5M,€150K,2096,
,Oyarzabal ST,28,83,83,Real Sociedad 2014 ~ 2028,€37M,€65K,2129,
,B. White RB CM,27,82,82,Arsenal 2021 ~ 2028,€29.5M,€135K,1883,
,K. Havertz ST CAM CM,26,82,84,Arsenal 2023 ~ 2028,€38M,€155K,2054,
,R. Calafiori LB CB CM,23,82,86,Arsenal 2024 ~ 2029,€40.5M,€120K,2130,
,O. Watkins ST,29,82,82,Aston Villa 2020 ~ 2028,€30.5M,€140K,2102,
,Pedro Neto RM LM RW,25,82,83,Chelsea 2024 ~ 2031,€36.5M,€130K,2035,
,João Pedro ST CAM,23,82,86,Chelsea 2025 ~ 2033,€44M,€130K,2037,
,J. Grealish LM LW,29,82,82,"Everton Jun 30, 2026 On loan",€30M,€140K,2068,
,I. Ndiaye RM LM RW,25,82,83,Everton 2024 ~ 2029,€36.5M,€55K,2009,
,J. Frimpong RB RM RW,24,82,84,Liverpool 2025 ~ 2030,€36.5M,€95K,2082,
,J. Stones CB RB CDM,31,82,82,Manchester City 2016 ~ 2029,€21M,€135K,1992,
,M. Kovačić CM CDM CAM,31,82,82,Manchester City 2023 ~ 2027,€25M,€140K,2101,
,N. Aké CB LB CDM,30,82,82,Manchester City 2020 ~ 2027,€25M,€135K,2011,
,Matheus Nunes RB CM RM,26,82,83,Manchester City 2023 ~ 2028,€33M,€130K,2190,
,Casemiro CDM CM,33,82,82,Manchester United 2022 ~ 2029,€15M,€100K,2093,
,M. de Ligt CB,25,82,84,Manchester United 2024 ~ 2029,€34M,€95K,1935,
,F. Schär CB,33,82,82,Newcastle United 2018 ~ 2029,€14.5M,€135K,2100,
,A. Gordon LW ST RW LM,24,82,85,Newcastle United 2023 ~ 2030,€41.5M,€125K,2092,
,E. Anderson CDM CM,22,82,86,Nottingham Forest 2024 ~ 2029,€40.5M,€90K,2200,
,Murillo CB,22,82,86,Nottingham Forest 2023 ~ 2030,€40M,€90K,1999,
,Palhinha CDM CM,29,82,82,"Tottenham Hotspur Jun 30, 2026 On loan",€26M,€75K,2017,
,C. Romero CB,27,82,84,Tottenham Hotspur 2022 ~ 2029,€32.5M,€115K,1884,
,Pedro Porro RB RM,25,82,85,Tottenham Hotspur 2023 ~ 2028,€37M,€105K,2207,
,X. Simons CAM LM LW ST,22,82,85,Tottenham Hotspur 2025 ~ 2030,€42.5M,€105K,2122,
,M. van de Ven CB LB,24,82,85,Tottenham Hotspur 2023 ~ 2029,€37M,€95K,2007,
,D. Henderson GK,28,82,83,Crystal Palace 2023 ~ 2028,€24M,€67K,1316,
,J. Mateta ST,28,82,82,Crystal Palace 2022 ~ 2027,€31M,€115K,2000,
,D. Muñoz RB RM,29,82,82,Crystal Palace 2024 ~ 2028,€27M,€100K,2132,
,C. Tolisso CM CDM CAM,30,82,82,Olympique Lyonnais 2022 ~ 2027,€29M,€33K,2229,
,M. Safonov GK,26,82,86,Paris Saint-Germain 2024 ~ 2029,€33M,€58K,1304,
,L. Chevalier GK,23,82,86,Paris Saint-Germain 2025 ~ 2030,€34.5M,€46K,1181,
,M. Neuer GK,39,82,82,FC Bayern München 2011 ~ 2030,€3.4M,€23K,1431,
,Kim Min Jae CB,28,82,82,FC Bayern München 2023 ~ 2028,€26.5M,€75K,1789,
,A. Pavlović CDM CM,21,82,87,FC Bayern München 2023 ~ 2029,€43M,€52K,2117,
,E. Can CB CDM,31,82,82,Borussia Dortmund 2020 ~ 2027,€21M,€60K,2177,
,J. Brandt CAM CM,29,82,82,Borussia Dortmund 2019 ~ 2030,€30M,€64K,2058,
,K. Adeyemi RM LW CAM RW,23,82,86,Borussia Dortmund 2022 ~ 2027,€43.5M,€52K,2052,
,E. Tapsoba CB,26,82,83,Bayer 04 Leverkusen 2020 ~ 2028,€31.5M,€86K,1963,
,D. Undav ST CAM,28,82,82,VfB Stuttgart 2024 ~ 2027,€31M,€59K,2028,
,J. Burkardt ST,24,82,85,Eintracht Frankfurt 2025 ~ 2030,€42M,€43K,2020,
,C. De Ketelaere CAM ST CM,24,82,86,Atalanta 2024 ~ 2028,€43.5M,€72K,2092,
,Éderson CM CDM,25,82,85,Atalanta 2022 ~ 2027,€40M,€77K,2151,
,L. Openda ST CAM,25,82,84,"Juventus Jun 30, 2026 On loan",€38.5M,€70K,2019,
,K. Yıldız CAM LM LW CM,20,82,89,Juventus 2023 ~ 2029,€60.5M,€100K,2100,
,A. Romagnoli CB,30,82,82,Lazio 2022 ~ 2027,€25M,€46K,1769,
,A. Meret GK,28,82,84,Napoli 2019 ~ 2027,€26M,€72K,1276,
,A. Buongiorno CB,26,82,86,Napoli 2024 ~ 2029,€37.5M,€105K,1919,
,R. Freuler CDM CM,33,82,82,Bologna 2023 ~ 2029,€15M,€65K,2065,
,W. Falcone GK,30,82,82,Lecce 2023 ~ 2028,€20.5M,€13K,1145,
,Nico Paz CAM RM ST CM,20,82,89,Como 2024 ~ 2028,€60.5M,€82K,2017,
,D. Berardi RW RM,30,82,82,Sassuolo 2015 ~ 2029,€29.5M,€36K,2062,
,Giuliano RM RW LM,22,82,86,Atlético Madrid 2020 ~ 2030,€44.5M,€69K,2130,
,Álex Baena LM CM LW,23,82,87,Atlético Madrid 2025 ~ 2030,€46M,€69K,2155,
,M. Rashford LW LM ST,27,82,82,"FC Barcelona Jun 30, 2026 On loan",€32.5M,€110K,2048,
,A. Laporte CB,31,82,82,Athletic Club 2025 ~ 2028,€21M,€56K,1962,
,Sancet CAM CM ST,25,82,85,Athletic Club 2017 ~ 2032,€40.5M,€55K,2249,
,Vivian CB,25,82,85,Athletic Club 2019 ~ 2032,€36M,€51K,1900,
,Iago Aspas RW ST CAM RM,37,82,82,RC Celta 2015 ~ 2027,€10M,€35K,2062,
,Álex Remiro GK,30,82,82,Real Sociedad 2019 ~ 2027,€20.5M,€34K,1321,
,A. Budimir ST,33,82,82,CA Osasuna 2021 ~ 2027,€19.5M,€53K,1916,
,Moleiro LM CAM LW,21,82,87,Villarreal CF 2025 ~ 2030,€47M,€39K,2069,
,Gabriel Martinelli LW LM CM,24,81,84,Arsenal 2019 ~ 2027,€35M,€125K,2069,
,J. McGinn RM LM CAM RB,30,81,81,Aston Villa 2018 ~ 2028,€25M,€120K,2198,
,M. Cash RB RM,27,81,81,Aston Villa 2020 ~ 2029,€25M,€110K,2084,
,A. Onana CDM CM,23,81,84,Aston Villa 2024 ~ 2029,€32M,€95K,2039,
,Robert Sánchez GK,27,81,82,Chelsea 2023 ~ 2030,€22M,€76K,1374,
,J. Garner CDM RB CM,24,81,84,Everton 2022 ~ 2030,€32M,€44K,2140,
,A. Robertson LB LM,31,81,81,Liverpool 2017 ~ 2030,€18.5M,€105K,2102,
,M. Kerkez LB LM,21,81,85,Liverpool 2025 ~ 2030,€35M,€75K,2119,
,R. Aït-Nouri LB LM,24,81,85,Manchester City 2025 ~ 2030,€34.5M,€100K,2069,
,Nico González CDM CM,23,81,85,Manchester City 2025 ~ 2029,€33.5M,€100K,2115,
,Savinho RW LW RM,21,81,86,Manchester City 2024 ~ 2031,€39.5M,€100K,1886,
,N. O'Reilly LB CM,20,81,86,Manchester City 2021 ~ 2030,€35.5M,€86K,2178,
,H. Maguire CB,32,81,81,Manchester United 2019 ~ 2027,€16.5M,€95K,1902,
,L. Martínez CB,27,81,82,Manchester United 2022 ~ 2027,€26M,€90K,2094,
,S. Lammens GK,22,81,87,Manchester United 2025 ~ 2030,€33.5M,€45K,1227,
,Joelinton CM CDM,28,81,81,Newcastle United 2019 ~ 2028,€25.5M,€130K,2185,
,Y. Wissa ST,28,81,81,Newcastle United 2025 ~ 2029,€26.5M,€140K,1980,
,S. Botman CB,25,81,83,Newcastle United 2022 ~ 2030,€28.5M,€115K,1751,
,M. Thiaw CB,23,81,85,Newcastle United 2025 ~ 2029,€33M,€100K,1967,
,L. Hall LB LM,20,81,86,Newcastle United 2024 ~ 2029,€35.5M,€86K,2123,
,C. Wood ST,33,81,81,Nottingham Forest 2023 ~ 2027,€16.5M,€115K,1926,
,M. Sels GK,33,81,81,Nottingham Forest 2024 ~ 2027,€8.5M,€66K,1288,
,M. Gibbs-White CAM CM,25,81,83,Nottingham Forest 2022 ~ 2028,€32.5M,€100K,2163,
,G. Vicario GK,28,81,82,Tottenham Hotspur 2023 ~ 2028,€20.5M,€71K,1315,
,M. Kudus RW RM ST,24,81,83,Tottenham Hotspur 2025 ~ 2031,€33.5M,€100K,2112,
,A. Robinson LB LM,27,81,81,Fulham FC 2020 ~ 2028,€25M,€90K,2067,
,I. Sarr RW CAM RM,27,81,81,Crystal Palace 2024 ~ 2029,€27.5M,€100K,2013,
,M. Lacroix CB,25,81,83,Crystal Palace 2024 ~ 2029,€28.5M,€86K,1848,
,A. Wharton CDM CM,21,81,87,Crystal Palace 2024 ~ 2029,€38M,€66K,2051,
,K. Mitoma LM LW,28,81,81,Brighton & Hove Albion 2021 ~ 2027,€26M,€105K,2061,
,Igor Thiago ST,24,81,85,Brentford 2024 ~ 2031,€37.5M,€82K,1985,
,M. Senesi CB,28,81,81,AFC Bournemouth 2022 ~ 2028,€22M,€85K,1928,
,F. Thauvin RW ST RM,32,81,81,RC Lens 2025 ~ 2028,€20.5M,€40K,2076,
,D. Zakaria CDM CM CB,28,81,81,AS Monaco 2023 ~ 2028,€22.5M,€42K,2099,
,L. Hernández LB CB CM,29,81,81,Paris Saint-Germain 2023 ~ 2028,€22.5M,€89K,1991,
,P. Aubameyang ST,36,81,81,Olympique de Marseille 2025 ~ 2027,€9M,€43K,1986,
,P. Højbjerg CDM CM,29,81,81,Olympique de Marseille 2025 ~ 2028,€22M,€50K,2075,
,G. Rulli GK,33,81,81,Olympique de Marseille 2024 ~ 2027,€8.5M,€33K,1365,
,B. Pavard CB,29,81,81,"Olympique de Marseille Jun 30, 2026 On loan",€21.5M,€40K,2130,
,N. Aguerd CB,29,81,81,Olympique de Marseille 2025 ~ 2030,€21.5M,€50K,1930,
,L. Goretzka CDM CM,30,81,81,FC Bayern München 2018 ~ 2029,€21.5M,€69K,2226,
,M. Sabitzer CDM CM CAM,31,81,81,Borussia Dortmund 2023 ~ 2027,€18M,€55K,2253,
,K. Grabara GK,26,81,84,VfL Wolfsburg 2024 ~ 2028,€26M,€35K,1392,
,R. Doan RM CAM CM RB,27,81,81,Eintracht Frankfurt 2025 ~ 2030,€27.5M,€42K,2003,
,A. Kramarić CAM CM,34,81,81,TSG 1899 Hoffenheim 2015 ~ 2030,€12M,€49K,2059,
