Unnamed: 0,Age,Overall rating,Potential,ID,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 28,Player_Name,Positions,Primary_Position,Match_Name,Club,Contract_End_Year,Height_cm,Weight_kg,Value_EUR,Wage_EUR,BMI,Value_per_Overall
,29,89,89,231866,Right,65,65,86,83,84,84,92,87,82,10,10,14,4,3,,,,Rodri,CDM CM,CDM,Rodri,Manchester City,2027,190.0,82.0,88000000.0,250000.0,22.71,988764.04
,26,89,90,235212,Right,89,95,95,72,85,78,84,85,79,10,8,6,4,4,,,,A. Hakimi,RB RM,RB,A. Hakimi,Paris Saint-Germain,2029,181.0,73.0,111000000.0,170000.0,22.28,1247191.01
,30,89,89,212622,Right,75,70,92,69,85,86,87,86,85,8,15,15,4,3,,,,J. Kimmich,CDM RB CM,CDM,J. Kimmich,FC Bayern München,2029,177.0,75.0,86000000.0,140000.0,23.94,966292.13
,23,89,91,247827,Left,83,74,85,62,55,89,88,58,49,9,11,10,2,5,,,,M. Olise,RM RW CAM,RM,M. Olise,FC Bayern München,2029,180.0,78.0,134000000.0,120000.0,24.07,1505617.98
,28,89,89,233419,Left,90,91,91,67,56,87,85,54,38,8,7,8,4,4,,,,Raphinha,LW CAM RW LM,LW,Raphinha,FC Barcelona,2028,176.0,68.0,104000000.0,220000.0,21.95,1168539.33
,17,89,95,277643,Left,88,84,76,60,18,88,84,27,28,9,13,10,3,5,,,,Lamine Yamal,RW RM,RW,Lamine Yamal,FC Barcelona,2031,181.0,72.0,147000000.0,115000.0,21.98,1651685.39
,24,89,92,238794,Right,94,93,84,68,26,85,83,25,18,5,7,7,4,5,,,,Vini Jr.,LW ST LM,LW,Vini Jr.,Real Madrid,2027,176.0,73.0,141000000.0,320000.0,23.57,1584269.66
,26,89,90,239053,Right,87,93,94,82,84,86,84,87,85,6,10,15,4,3,,,,F. Valverde,CM RB RM CDM,CM,F. Valverde,Real Madrid,2029,182.0,78.0,120500000.0,340000.0,23.55,1353932.58
,22,89,93,252371,Right,81,80,93,80,80,88,90,80,82,14,11,5,4,4,,,,J. Bellingham,CAM CM LM,CAM,J. Bellingham,Real Madrid,2029,186.0,75.0,150500000.0,300000.0,21.68,1691011.24
,26,88,89,234378,Right,71,73,94,79,86,83,86,86,85,8,11,5,3,3,,,,D. Rice,CDM CM,CDM,D. Rice,Arsenal,2028,188.0,80.0,96000000.0,230000.0,22.63,1090909.09
,24,88,90,243715,Right,76,78,72,88,88,62,82,90,88,7,10,8,3,2,,,,W. Saliba,CB,CB,W. Saliba,Arsenal,2030,192.0,92.0,105500000.0,200000.0,24.96,1198863.64
,23,88,90,256079,Right,76,66,91,77,88,80,83,87,88,15,6,9,3,3,,,,M. Caicedo,CDM CM,CDM,M. Caicedo,Chelsea,2033,178.0,73.0,107000000.0,185000.0,23.04,1215909.09
,33,88,88,203376,Right,66,78,75,92,88,70,89,90,87,13,10,11,3,2,,,,V. van Dijk,CB,CB,V. van Dijk,Liverpool,2027,195.0,92.0,43500000.0,195000.0,24.19,494318.18
,32,88,88,212831,Right,60,49,32,78,11,66,66,19,16,86,87,88,3,1,,,,Alisson,GK,GK,Alisson,Liverpool,2027,193.0,91.0,45000000.0,130000.0,24.43,511363.64
,30,88,88,212198,Right,68,66,95,61,64,93,88,71,66,12,14,8,4,4,,,,Bruno Fernandes,CAM CM,CAM,Bruno Fernandes,Manchester United,2027,179.0,69.0,88000000.0,185000.0,21.53,1000000.0
,24,88,91,247635,Right,85,86,83,80,60,86,85,62,52,9,15,14,5,5,,,,K. Kvaratskhelia,LW RW LM,LW,K. Kvaratskhelia,Paris Saint-Germain,2029,183.0,70.0,125000000.0,150000.0,20.9,1420454.55
,23,88,91,252145,Left,94,95,85,73,82,72,83,87,83,7,8,12,4,3,,,,Nuno Mendes,LB LM,LB,Nuno Mendes,Paris Saint-Germain,2029,180.0,70.0,115500000.0,135000.0,21.6,1312500.0
,23,88,90,256196,Left,74,85,78,89,85,58,81,91,85,9,12,13,3,2,,,,W. Pacho,CB,CB,W. Pacho,Paris Saint-Germain,2029,188.0,81.0,105500000.0,135000.0,22.92,1198863.64
,20,88,93,272834,Right,77,71,92,78,85,87,85,86,83,8,7,13,4,3,,,,João Neves,CM CDM,CM,Joao Neves,Paris Saint-Germain,2029,174.0,66.0,135000000.0,120000.0,21.8,1534090.91
,28,88,88,224232,Right,85,78,91,68,84,86,88,85,80,11,5,14,4,3,,,,N. Barella,CM CDM,CM,N. Barella,Inter,2029,175.0,68.0,91500000.0,76000.0,22.2,1039772.73
,27,88,88,231478,Right,84,80,86,80,46,79,88,50,45,11,8,8,4,4,,,,L. Martínez,ST,ST,L. Martinez,Inter,2029,174.0,72.0,99000000.0,79000.0,23.78,1125000.0
,32,88,88,200389,Right,42,53,42,78,24,60,68,14,18,85,90,86,3,1,,,,J. Oblak,GK,GK,J. Oblak,Atlético Madrid,2028,188.0,87.0,45000000.0,87000.0,24.62,511363.64
,29,87,87,220901,Right,64,59,31,38,11,68,68,14,13,86,84,85,3,1,,,,David Raya,GK,GK,David Raya,Arsenal,2028,183.0,83.0,54500000.0,145000.0,24.78,626436.78
,23,87,89,246669,Left,85,81,86,74,62,86,82,62,60,7,8,9,4,3,,,,B. Saka,RW RM,RW,B. Saka,Arsenal,2030,178.0,65.0,103500000.0,210000.0,20.52,1189655.17
,25,87,88,233731,Right,86,80,78,79,38,80,88,34,29,7,6,7,4,4,,,,A. Isak,ST,ST,A. Isak,Liverpool,2031,192.0,77.0,96500000.0,185000.0,20.89,1109195.4
,22,87,91,256630,Right,82,79,87,59,55,89,86,49,44,14,14,6,4,4,,,,F. Wirtz,CAM LM CM,CAM,F. Wirtz,Liverpool,2030,177.0,71.0,116500000.0,160000.0,22.66,1339080.46
,28,87,87,239818,Right,55,62,71,89,87,64,85,87,85,7,8,7,4,2,,,,Rúben Dias,CB,CB,Ruben Dias,Manchester City,2029,187.0,82.0,68500000.0,210000.0,23.45,787356.32
,31,87,87,207865,Right,75,80,79,79,89,76,86,89,88,6,6,10,3,3,,,,Marquinhos,CB,CB,Marquinhos,Paris Saint-Germain,2028,183.0,75.0,54500000.0,145000.0,22.4,626436.78
,29,87,87,213331,Right,53,71,76,91,84,57,80,89,84,11,8,9,3,2,,,,J. Tah,CB,CB,J. Tah,FC Bayern München,2029,195.0,94.0,66500000.0,115000.0,24.72,764367.82
,28,87,87,241084,Right,86,81,86,69,38,81,82,47,38,10,13,14,4,4,,,,L. Díaz,LM LW ST,LM,L. Diaz,FC Bayern München,2029,180.0,70.0,80000000.0,120000.0,21.6,919540.23
,22,87,91,256790,Right,85,75,73,61,64,84,83,66,61,6,9,8,4,5,,,,J. Musiala,CAM LM CM ST,CAM,J. Musiala,FC Bayern München,2030,186.0,75.0,116500000.0,100000.0,21.68,1339080.46
,26,87,89,237383,Left,71,77,83,81,87,72,85,88,84,11,5,11,2,2,,,,A. Bastoni,CB,CB,A. Bastoni,Inter,2028,190.0,75.0,87000000.0,63000.0,20.78,1000000.0
,29,87,88,215698,Right,65,62,39,83,25,65,68,18,20,84,84,84,4,1,,,,M. Maignan,GK,GK,M. Maignan,AC Milan,2031,191.0,89.0,61000000.0,61000.0,24.4,701149.43
,34,87,87,192985,Right,65,66,66,74,65,92,87,70,55,15,13,10,5,4,,,,K. De Bruyne,CM CAM,CM,K. De Bruyne,Napoli,2027,181.0,75.0,36500000.0,175000.0,22.89,419540.23
,28,87,87,228702,Right,80,83,87,73,82,88,90,78,77,7,13,10,3,4,,,,F. de Jong,CM CDM CAM,CM,F. de Jong,FC Barcelona,2029,181.0,74.0,79500000.0,170000.0,22.59,913793.1
,26,86,87,222665,Left,68,68,84,55,69,90,86,72,57,14,15,8,2,5,,,,M. Ødegaard,CM CAM,CM,M. Ødegaard,Arsenal,2028,178.0,68.0,79500000.0,200000.0,21.46,924418.6
,27,86,86,241651,Right,83,88,89,91,41,76,85,42,34,10,13,14,4,3,,,,V. Gyökeres,ST,ST,V. Gyokeres,Arsenal,2030,189.0,94.0,73500000.0,220000.0,26.32,854651.16
,23,86,89,257534,Left,76,75,79,60,50,88,88,50,40,7,6,14,3,4,,,,C. Palmer,CAM RM CM,CAM,C. Palmer,Chelsea,2033,185.0,77.0,93000000.0,170000.0,22.5,1081395.35
,24,86,88,236772,Right,79,83,93,69,74,86,86,76,72,10,10,10,4,4,,,,D. Szoboszlai,CAM RB CM,CAM,D. Szoboszlai,Liverpool,2028,186.0,74.0,88000000.0,145000.0,21.39,1023255.81
,23,86,89,246104,Right,76,76,85,80,88,82,88,82,78,12,8,11,4,4,,,,R. Gravenberch,CDM CM,CDM,R. Gravenberch,Liverpool,2032,190.0,77.0,84000000.0,135000.0,21.33,976744.19
,27,86,86,247851,Right,66,66,90,76,82,86,88,82,81,7,11,11,3,3,,,,Bruno Guimarães,CM CDM,CM,Bruno Guimaraes,Newcastle United,2028,182.0,74.0,72000000.0,190000.0,22.34,837209.3
,20,86,91,271421,Right,85,82,80,83,59,79,89,60,52,9,12,5,4,5,,,,D. Doué,RW LW CM RM,RW,D. Doue,Paris Saint-Germain,2029,181.0,79.0,101000000.0,110000.0,24.11,1174418.6
,26,86,88,229558,Right,76,78,73,87,87,58,77,84,82,6,7,15,3,3,,,,D. Upamecano,CB,CB,D. Upamecano,FC Bayern München,2030,186.0,90.0,74000000.0,100000.0,26.01,860465.12
,27,86,89,235073,Right,38,52,32,81,14,59,66,15,15,87,83,86,3,1,,,,G. Kobel,GK,GK,G. Kobel,Borussia Dortmund,2028,195.0,88.0,66500000.0,52000.0,23.14,773255.81
,25,86,88,247819,Left,77,72,74,87,84,72,81,88,87,8,10,14,2,2,,,,N. Schlotterbeck,CB,CB,N. Schlotterbeck,Borussia Dortmund,2031,191.0,86.0,75500000.0,78000.0,23.57,877906.98
,36,86,86,177683,Right,48,54,45,68,21,64,54,20,14,83,81,87,4,1,,,,Y. Sommer,GK,GK,Y. Sommer,Inter,2028,183.0,79.0,7500000.0,24000.0,23.59,87209.3
,31,86,86,208128,Right,74,68,81,65,81,89,85,82,79,9,14,6,5,4,,,,H. Çalhanoğlu,CDM CM,CDM,H. Calhanoglu,Inter,2027,178.0,76.0,47500000.0,61000.0,23.99,552325.58
,27,86,86,226268,Left,85,79,85,72,82,80,78,80,79,9,8,7,2,3,,,,F. Dimarco,LB LM,LB,F. Dimarco,Inter,2027,174.0,75.0,65500000.0,58000.0,24.77,761627.91
,28,86,86,239580,Right,78,86,68,85,83,50,78,87,84,13,15,5,2,2,,,,Bremer,CB,CB,Bremer,Juventus,2029,187.0,84.0,58500000.0,185000.0,24.02,680232.56
,28,86,86,237238,Right,70,80,92,82,84,79,80,81,75,9,6,10,3,3,,,,S. McTominay,CM CAM LM CDM,CM,S. McTominay,Napoli,2029,193.0,88.0,68000000.0,165000.0,23.62,790697.67
,25,86,89,246191,Right,87,85,83,72,52,84,86,59,46,6,10,15,4,4,,,,J. Alvarez,ST CAM,ST,J. Alvarez,Atlético Madrid,2030,170.0,71.0,91000000.0,115000.0,24.57,1058139.53
,36,86,86,188545,Right,70,71,76,86,49,81,87,42,19,15,6,8,4,4,,,,R. Lewandowski,ST,ST,R. Lewandowski,FC Barcelona,2028,186.0,81.0,23000000.0,130000.0,23.41,267441.86
,26,86,87,241486,Right,85,83,85,84,83,74,80,85,84,11,10,14,3,3,,,,J. Koundé,RB RM,RB,J. Kounde,FC Barcelona,2030,181.0,84.0,73000000.0,140000.0,25.64,848837.21
,24,86,89,259532,Right,48,44,35,59,13,63,59,13,14,85,85,84,3,1,,,,Joan García,GK,GK,Joan Garcia,FC Barcelona,2031,193.0,85.0,72500000.0,71000.0,22.82,843023.26
,26,85,87,248148,Right,67,66,85,67,84,84,85,82,79,7,6,14,4,3,,,,Zubimendi,CDM CM,CDM,Zubimendi,Arsenal,2030,181.0,74.0,60000000.0,180000.0,22.59,705882.35
,32,85,85,202811,Right,55,57,40,78,21,67,69,20,20,83,81,85,4,1,,,,E. Martínez,GK,GK,E. Martinez,Aston Villa,2029,195.0,88.0,26500000.0,105000.0,23.14,311764.71
,28,85,85,216393,Right,51,55,87,69,75,87,88,77,80,6,8,14,4,4,,,,Y. Tielemans,CM CDM CAM,CM,Y. Tielemans,Aston Villa,2027,176.0,72.0,54000000.0,170000.0,23.24,635294.12
,26,85,85,239231,Left,78,77,89,70,83,77,79,85,84,13,7,10,3,3,,,,Marc Cucurella,LB CM,LB,Marc Cucurella,Chelsea,2028,174.0,71.0,53500000.0,170000.0,23.45,629411.76
,24,85,88,247090,Right,68,68,86,67,74,86,84,75,72,8,6,8,4,3,,,,E. Fernández,CM CDM CAM,CM,E. Fernandez,Chelsea,2032,178.0,78.0,73000000.0,150000.0,24.62,858823.53
,31,85,85,204935,Left,57,47,40,72,26,69,65,20,12,84,80,82,4,1,,,,J. Pickford,GK,GK,J. Pickford,Everton,2029,185.0,77.0,28500000.0,49000.0,22.5,335294.12
,26,85,86,239837,Right,68,64,85,69,79,85,86,82,74,7,10,15,3,3,,,,A. Mac Allister,CM CDM,CM,A. Mac Allister,Liverpool,2028,176.0,72.0,63000000.0,150000.0,23.24,741176.47
,23,85,88,257289,Right,85,87,86,70,23,79,84,35,19,8,8,10,3,4,,,,H. Ekitiké,ST CAM,ST,H. Ekitike,Liverpool,2031,190.0,76.0,74500000.0,145000.0,21.05,876470.59
,25,85,88,237692,Left,83,79,83,41,59,83,85,59,47,8,15,10,2,4,,,,P. Foden,CAM CM RW,CAM,P. Foden,Manchester City,2027,171.0,70.0,71500000.0,170000.0,23.94,841176.47
,26,85,86,240638,Right,82,75,92,69,75,84,84,74,72,6,10,14,4,4,,,,T. Reijnders,CM CDM CAM,CM,T. Reijnders,Manchester City,2030,185.0,73.0,63000000.0,175000.0,21.33,741176.47
,23,85,88,251517,Left,78,79,82,82,85,70,82,85,84,5,8,9,5,3,,,,J. Gvardiol,CB LB LM,CB,J. Gvardiol,Manchester City,2028,185.0,80.0,66000000.0,145000.0,23.37,776470.59
,25,85,86,243014,Left,90,90,85,73,52,80,83,41,37,7,14,13,2,4,,,,B. Mbeumo,RW RM ST,RW,B. Mbeumo,Manchester United,2030,171.0,75.0,64500000.0,135000.0,25.65,758823.53
,25,85,87,241096,Right,80,79,89,82,84,79,84,82,81,13,9,7,4,3,,,,S. Tonali,CDM CM,CDM,S. Tonali,Newcastle United,2029,181.0,79.0,60500000.0,160000.0,24.11,711764.71
,32,85,85,199503,Left,40,53,84,78,77,85,85,79,75,7,8,7,3,3,,,,G. Xhaka,CDM CM,CDM,G. Xhaka,Sunderland,2028,186.0,80.0,36000000.0,105000.0,23.12,423529.41
,29,85,85,226271,Left,61,61,84,67,79,84,82,79,75,16,11,13,3,3,,,,Fabián Ruiz,CM CDM,CM,Fabian Ruiz,Paris Saint-Germain,2027,189.0,70.0,52500000.0,130000.0,19.6,617647.06
,29,85,85,215441,Right,73,71,84,85,33,79,87,44,36,11,8,12,4,3,,,,S. Guirassy,ST,ST,S. Guirassy,Borussia Dortmund,2028,187.0,82.0,54000000.0,89000.0,23.45,635294.12
,29,85,85,210035,Left,76,68,91,53,79,85,83,75,69,7,13,7,2,4,,,,Grimaldo,LM LB CAM LW,LM,Grimaldo,Bayer 04 Leverkusen,2027,171.0,68.0,53000000.0,120000.0,23.26,623529.41
,29,85,85,234236,Left,72,72,69,85,25,75,85,29,19,11,15,9,3,3,,,,P. Schick,ST,ST,P. Schick,Bayer 04 Leverkusen,2030,191.0,87.0,54000000.0,135000.0,23.85,635294.12
,25,85,88,252154,Right,24,39,28,55,13,54,40,17,14,86,84,85,3,1,,,,M. Carnesecchi,GK,GK,M. Carnesecchi,Atalanta,2028,191.0,83.0,55000000.0,60000.0,22.75,647058.82
,27,85,85,228093,Right,85,88,83,81,47,78,78,48,42,11,13,9,4,3,,,,M. Thuram,ST,ST,M. Thuram,Inter,2028,192.0,90.0,58500000.0,61000.0,24.41,688235.29
,39,85,85,177003,Right,72,65,69,58,79,88,91,74,72,13,9,14,4,4,,,,L. Modrić,CM CAM CDM,CM,L. Modric,AC Milan,2028,172.0,66.0,17000000.0,56000.0,22.31,200000.0
,30,85,85,210008,Left,75,86,94,82,76,84,86,79,74,9,12,7,3,3,,,,A. Rabiot,CM CAM CDM,CM,A. Rabiot,AC Milan,2028,191.0,86.0,51500000.0,83000.0,23.57,605882.35
,26,85,85,227796,Right,90,86,76,57,40,80,83,42,50,8,12,16,5,4,,,,C. Pulisic,RW RM ST,RW,C. Pulisic,AC Milan,2027,178.0,73.0,59000000.0,86000.0,23.04,694117.65
,31,85,85,211110,Left,83,76,76,63,41,87,89,42,39,5,4,5,3,5,,,,P. Dybala,CAM ST,CAM,P. Dybala,Roma,2029,177.0,75.0,44500000.0,95000.0,23.94,523529.41
,30,85,85,226161,Right,89,92,93,78,82,81,79,84,74,13,6,11,4,3,,,,Marcos Llorente,RB RM CM,RB,Marcos Llorente,Atlético Madrid,2027,183.0,74.0,46500000.0,105000.0,22.1,547058.82
,26,85,86,231281,Right,72,79,85,68,83,86,81,82,79,14,15,6,4,3,,,,T. Alexander-Arnold,RB RM,RB,T. Alexander-Arnold,Real Madrid,2031,180.0,78.0,58000000.0,230000.0,24.07,682352.94
,22,85,88,256516,Right,94,92,81,61,40,80,78,33,25,9,13,12,5,4,,,,Nico Williams,LW LM,LW,Nico Williams,Athletic Club,2035,181.0,67.0,75000000.0,69000.0,20.45,882352.94
,27,84,85,235794,Right,73,75,76,68,57,85,87,63,48,10,12,14,4,4,,,,E. Eze,CAM CM LW,CAM,E. Eze,Arsenal,2029,178.0,69.0,48500000.0,175000.0,21.78,577380.95
,24,84,87,251805,Right,76,76,83,82,83,77,82,85,82,6,6,14,3,3,,,,J. Timber,RB LB CB RM,RB,J. Timber,Arsenal,2028,179.0,78.0,53500000.0,140000.0,24.34,636904.76
,27,84,85,227678,Right,72,78,79,80,84,75,82,87,86,14,8,13,3,2,,,,E. Konsa,CB,CB,E. Konsa,Aston Villa,2028,185.0,77.0,42500000.0,145000.0,22.5,505952.38
,25,84,86,236987,Right,62,65,81,79,85,79,85,86,83,8,12,6,3,3,,,,B. Kamara,CDM CM,CDM,B. Kamara,Aston Villa,2030,184.0,68.0,47500000.0,140000.0,20.09,565476.19
,22,84,86,260247,Right,75,79,83,79,68,85,85,72,49,7,8,11,4,4,,,,M. Rogers,CAM LM CM,CAM,M. Rogers,Aston Villa,2031,187.0,80.0,56000000.0,135000.0,22.88,666666.67
,25,84,86,238074,Right,75,76,68,87,85,78,82,84,84,8,12,13,4,3,,,,R. James,RB CDM,RB,R. James,Chelsea,2032,180.0,91.0,48500000.0,145000.0,28.09,577380.95
,26,84,85,237678,Right,69,83,75,91,82,64,80,86,85,9,7,9,3,3,,,,I. Konaté,CB,CB,I. Konate,Liverpool,2028,194.0,95.0,43500000.0,135000.0,25.24,517857.14
,24,84,86,241159,Right,69,72,80,80,85,66,80,85,86,8,9,12,5,2,,,,M. Guéhi,CB,CB,M. Guehi,Manchester City,2031,182.0,80.0,48500000.0,130000.0,24.15,577380.95
,25,84,85,241236,Right,81,82,84,79,34,82,85,44,31,10,11,15,5,3,,,,A. Semenyo,RW LW RM,RW,A. Semenyo,Manchester City,2031,185.0,79.0,50500000.0,165000.0,23.08,601190.48
,21,84,88,251570,Left,75,75,68,67,40,87,88,48,33,7,14,8,5,5,,,,R. Cherki,RW RM CAM,RW,R. Cherki,Manchester City,2030,177.0,71.0,61500000.0,130000.0,22.66,732142.86
,22,84,88,264652,Right,89,94,74,64,39,79,83,39,28,8,8,6,4,4,,,,B. Barcola,LW RW LM,LW,B. Barcola,Paris Saint-Germain,2028,188.0,70.0,61500000.0,110000.0,19.81,732142.86
,28,84,84,225375,Right,82,82,84,69,80,78,80,79,79,9,12,13,3,3,,,,K. Laimer,RB CDM LB RM,RB,K. Laimer,FC Bayern München,2027,180.0,72.0,38000000.0,90000.0,22.22,452380.95
,24,84,86,246863,Right,78,86,79,90,82,78,81,85,79,6,10,13,3,4,,,,F. Nmecha,CM CDM,CM,F. Nmecha,Borussia Dortmund,2030,194.0,80.0,54500000.0,63000.0,21.26,648809.52
,28,84,84,228813,Right,67,64,76,65,77,86,84,77,74,16,8,10,3,3,,,,Aleix García,CM CDM CAM,CM,Aleix Garcia,Bayer 04 Leverkusen,2029,173.0,68.0,42000000.0,110000.0,22.72,500000.0
,35,84,84,193698,Right,37,41,39,69,21,50,52,18,14,85,81,81,2,1,,,,O. Baumann,GK,GK,O. Baumann,TSG 1899 Hoffenheim,2028,187.0,82.0,4700000.0,23000.0,23.45,55952.38
,35,84,84,185122,Right,42,44,37,74,23,44,45,16,20,83,83,87,2,1,,,,P. Gulácsi,GK,GK,P. Gulacsi,RB Leipzig,2027,193.0,86.0,4700000.0,32000.0,23.09,55952.38
,29,84,84,233096,Right,78,88,88,81,77,69,78,78,77,10,10,13,3,2,,,,D. Dumfries,RB RM,RB,D. Dumfries,Inter,2028,188.0,80.0,37000000.0,51000.0,22.63,440476.19
,27,84,85,222077,Right,62,65,89,73,81,82,82,85,80,11,12,10,4,3,,,,M. Locatelli,CDM CM,CDM,M. Locatelli,Juventus,2028,185.0,75.0,43000000.0,150000.0,21.91,511904.76
,26,84,85,241721,Right,93,93,75,79,24,81,83,24,21,10,12,11,4,5,,,,Rafael Leão,LW LM ST,LW,Rafael Leao,AC Milan,2028,188.0,81.0,49500000.0,79000.0,22.92,589285.71
,29,84,84,229582,Right,67,74,83,79,85,56,83,86,79,13,12,6,3,2,,,,G. Mancini,CB,CB,G. Mancini,Roma,2027,190.0,77.0,35500000.0,83000.0,21.33,422619.05
,25,84,87,230872,Right,60,55,32,61,13,53,48,24,19,81,81,85,3,1,,,,M. Svilar,GK,GK,M. Svilar,Roma,2027,189.0,77.0,43000000.0,47000.0,21.56,511904.76
,34,84,84,193080,Right,47,45,30,38,21,45,45,20,15,85,76,84,2,1,,,,De Gea,GK,GK,De Gea,Fiorentina,2028,192.0,76.0,7000000.0,51000.0,20.62,83333.33
,34,84,84,194765,Left,78,73,74,70,62,86,88,63,67,14,8,13,3,4,,,,A. Griezmann,ST CAM,ST,A. Griezmann,Atlético Madrid,2027,176.0,73.0,20500000.0,105000.0,23.57,244047.62
,31,84,84,210514,Right,88,78,77,65,79,85,85,81,77,6,9,14,4,4,,,,João Cancelo,RB LB RM,RB,Joao Cancelo,"FC Barcelona Jun 30, 2026 On loan",,182.0,74.0,30500000.0,68000.0,22.34,363095.24
,25,84,86,241461,Right,86,82,74,76,36,79,82,36,28,12,9,15,4,4,,,,Ferran Torres,ST LW LM,ST,Ferran Torres,FC Barcelona,2027,183.0,80.0,53500000.0,130000.0,23.89,636904.76
,27,84,84,244260,Right,78,71,71,56,58,85,82,53,38,15,15,12,4,4,,,,Dani Olmo,CAM CM,CAM,Dani Olmo,FC Barcelona,2030,179.0,72.0,45000000.0,130000.0,22.47,535714.29
,33,84,84,204963,Right,76,77,80,74,81,78,83,84,82,13,13,9,3,3,,,,Carvajal,RB RM,RB,Carvajal,Real Madrid,2029,173.0,73.0,22000000.0,220000.0,24.39,261904.76
,32,84,84,205452,Right,69,83,70,88,80,61,79,84,82,14,15,12,3,2,,,,A. Rüdiger,CB,CB,A. Rudiger,Real Madrid,2029,190.0,86.0,27500000.0,220000.0,23.82,327380.95
,27,84,86,240130,Right,80,83,84,79,84,65,76,85,84,11,8,12,3,2,,,,Éder Militão,CB,CB,Eder Militao,Real Madrid,2028,186.0,78.0,45000000.0,210000.0,22.55,535714.29
,25,84,87,241637,Right,75,74,83,82,85,81,82,85,81,9,8,12,3,3,,,,A. Tchouaméni,CDM CM CB,CDM,A. Tchouameni,Real Madrid,2028,188.0,82.0,50500000.0,200000.0,23.2,601190.48
,24,84,87,243812,Right,88,87,76,59,25,83,83,39,28,9,8,8,4,4,,,,Rodrygo,LW RW ST LM,LW,Rodrygo,Real Madrid,2028,174.0,64.0,57500000.0,210000.0,21.14,684523.81
,28,84,85,230869,Right,48,50,44,76,26,48,40,18,12,83,80,82,3,1,,,,Unai Simón,GK,GK,Unai Simon,Athletic Club,2029,190.0,88.0,33500000.0,44000.0,24.38,398809.52
,33,84,84,197781,Right,64,64,67,55,61,88,87,62,51,10,8,15,4,5,,,,Isco,CAM CM,CAM,Isco,Real Betis Balompié,2028,176.0,79.0,26500000.0,52000.0,25.5,315476.19
,33,84,84,192448,Right,41,48,35,75,22,70,70,13,10,82,82,83,4,1,,,,M. ter Stegen,GK,GK,M. ter Stegen,"Girona FC Jun 30, 2026 On loan",,187.0,85.0,13500000.0,82000.0,24.31,160714.29
,30,83,83,207421,Right,87,75,76,55,18,81,84,31,18,14,8,7,5,4,,,,L. Trossard,LW LM,LW,L. Trossard,Arsenal,2027,172.0,67.0,35000000.0,175000.0,22.65,421686.75
,29,83,83,225193,Left,52,54,82,78,83,80,81,82,76,9,12,13,3,3,,,,Mikel Merino,CM ST CDM,CM,Mikel Merino,Arsenal,2028,189.0,83.0,35500000.0,160000.0,23.24,427710.84
